inventory_id,product_id,warehouse_id,stock_quantity,reorder_level
I0930,P0303,W005,441,92
I0931,P0117,W004,950,68
I0932,P0212,W003,674,85
I0933,P0034,W001,379,27
I0934,P0286,W005,336,52
I0935,P0307,W002,788,38
I0936,P0319,W001,168,47
I0937,P0031,W001,840,77
I0938,P0380,W001,449,97
I0939,P0141,W005,387,71
I0940,P0318,W001,809,38
I0941,P0359,W005,82,99
I0942,P0084,W005,465,70
I0943,P0210,W005,860,79
I0944,P0164,W003,182,48
I0945,P0277,W002,41,65
I0946,P0328,W004,529,97
I0947,P0427,W004,190,62
I0948,P0280,W005,109,21
I0949,P0281,W002,689,82
I0950,P0136,W004,709,84
I0951,P0445,W005,447,29
I0952,P0346,W002,939,73
I0953,P0318,W001,754,92
I0954,P0397,W001,653,27
I0955,P0303,W001,407,99
I0956,P0158,W005,248,74
I0957,P0338,W004,714,25
I0958,P0455,W003,658,62
I0959,P0130,W003,143,42
I0960,P0131,W003,426,78
I0961,P0266,W003,417,55
I0962,P0318,W002,633,90
I0963,P0086,W003,88,36
I0964,P0217,W003,186,93
I0965,P0075,W002,928,80
I0966,P0269,W002,667,54
I0967,P0477,W004,365,38
I0968,P0437,W002,889,43
I0969,P0277,W005,76,27
I0970,P0136,W003,724,78
I0971,P0129,W005,228,37
I0972,P0413,W005,735,49
I0973,P0216,W004,801,46
I0974,P0072,W002,947,48
I0975,P0049,W003,164,72
I0976,P0179,W003,567,47
I0977,P0412,W003,829,60
I0978,P0305,W002,751,24
I0979,P0025,W002,605,63
I0980,P0238,W004,360,90
I0981,P0452,W004,402,20
I0982,P0428,W004,646,37
I0983,P0449,W002,798,88
I0984,P0132,W005,27,42
I0985,P0170,W001,145,74
I0986,P0412,W001,722,52
I0987,P0101,W003,739,65
I0988,P0200,W005,350,56
I0989,P0325,W004,633,30
I0990,P0234,W002,238,82
I0991,P0419,W001,561,55
I0992,P0459,W002,577,33
I0993,P0212,W003,792,33
I0994,P0218,W002,888,26
I0995,P0288,W001,51,83
I0996,P0063,W005,657,97
I0997,P0046,W005,429,92
I0998,P0322,W003,614,47
I0999,P0234,W005,850,84
I1000,P0478,W003,227,38
